"321741422127730	","2020061422001236731409988699	","T10000P596129828744860799	",【*****预售】*******************抗皱霜 ****************小针管,01/07/2020 00:01,0,-5.84,1943542.8,*******,收费,*****支付服务费[2020061422001236731409988699];*****交易号[T10000P596129828744860799],0030038|软件服务费-*******服务费,*****商家中心,"596129828744860799	",M{596129828744860799}
"321206141524410	","BO202007014*****9166410205	","CAE_POINT_596129828744860799_2_0	",,01/07/2020 00:01,0,-3.65,1943539.15,*******,转账,代扣返点积分596129828744860799,0030001|软件服务费-****返点积分,账房,"596129828744860799	",M{596129828744860799}
"321205001690410	","BO2020070146087646410205	","HJCOM==3200060031==2748345820570251==596129828744860799	",,01/07/2020 00:01,0,-29.2,1943509.95,*******,转账,****佣金（类目）{596129828744860799}扣款,0030003|软件服务费-****佣金,账房,"596129828744860799	",M{596129828744860799}|S{596129828744860799}
"321881049491961	","2020062422001115960512853466	","T200P1084321153766744786	",【*****】******************************防晒乳隔离防水,01/07/2020 00:01,380,0,1943889.95,*******,交易付款,,0010001|交易收款-交易收款,商家中心,"1084321153766744786	",M{1084321153766744786}
"321205853129410	","BO2020070146226869410205	","CAE_POINT_1084321153766744786_2_0	",,01/07/2020 00:01,0,-1.9,1943888.05,*******,转账,代扣返点积分1084321153766744786,0030001|软件服务费-****返点积分,账房,"1084321153766744786	",M{1084321153766744786}
"321880467548960	","2020062422001115960512853466	","T200P1084321153766744786	",【*****】******************************防晒乳隔离防水,01/07/2020 00:01,0,-3.04,1943885.01,*******,收费,信用卡支付服务费[2020062422001115960512853466];*****交易号[T200P1084321153766744786],0030038|软件服务费-*******服务费,*****商家中心,"1084321153766744786	",M{1084321153766744786}
"321204803173410	","BO2020070146373148410205	","HJCOM==3200060031==2748345621920251==1084321153766744786	",,01/07/2020 00:01,0,-15.2,1943869.81,*******,转账,****佣金（类目）{1084321153766744786}扣款,0030003|软件服务费-****佣金,账房,"1084321153766744786	",M{1084321153766744786}|S{1084321153766744786}
"321204519922410	","BO2020070146129956410205	","fiWdkXDS8uAyAqzhGw5MGdjvZ43aowNApZXT/C0BQxU=	",,01/07/2020 00:02,0,-21.9,1943847.91,*******,转账,网红佣金代扣款[596129828744860799],,,"	",
"321323088821581	","2020062422001153581411782723	","T200P606434381901432401	",【周二星品小样派送】**********面霜5ml,01/07/2020 00:02,9.9,0,1943857.81,*******,交易付款,,0010001|交易收款-交易收款,商家中心,"606434381901432401	",M{606434381901432401}
"321204234697410	","BO2020070146176087410205	","CAE_POINT_606434381901432401_2_0	",,01/07/2020 00:02,0,-0.04,1943857.77,*******,转账,代扣返点积分606434381901432401,0030001|软件服务费-****返点积分,账房,"606434381901432401	",M{606434381901432401}
"322716215625521	","20200*****22001134521410109006	","T200P1073527010421679883	",【直播专享】**********水乳套装亮肤水150ml+乳100ml 滋润型,01/07/2020 00:03,1340,0,1945197.77,*******,交易付款,*****分期交易号[20200*****22001134521410109006],0010001|交易收款-交易收款,商家中心,"1073527010421679883	",M{1073527010421679883}
"322715436092520	","20200*****22001134521410109006	","T200P1073527010421679883	",【直播专享】**********水乳套装亮肤水150ml+乳100ml 滋润型,01/07/2020 00:03,0,-59.06,1945138.71,*******,收费,*****分期服务费[20200*****22001134521410109006],003003800001|软件服务费-*******服务费-*****分期,*****商家中心,"1073527010421679883	",M{1073527010421679883}
"321206168360410	","BO2020070146275268410205	","CAE_POINT_1073527010421679883_2_0	",,01/07/2020 00:03,0,-6.7,1945132.01,*******,转账,代扣返点积分1073527010421679883,0030001|软件服务费-****返点积分,账房,"1073527010421679883	",M{1073527010421679883}
"321206234031410	","BO2020070146123125410205	","HJCOM==3200060031==2748345723980251==1073527010421679883	",,01/07/2020 00:03,0,-53.6,1945078.41,*******,转账,****佣金（类目）{1073527010421679883}扣款,0030003|软件服务费-****佣金,账房,"1073527010421679883	",M{1073527010421679883}|S{1073527010421679883}
"324018995513920	","20200*****22001101921420974496	","T200P1073116000093076875	",【直播专享】**********水乳套装亮肤水150ml+乳100ml 滋润型,01/07/2020 00:03,0,-40.2,1945038.21,*******,交易分账,网红佣金代扣款[1073116000093076875],0060011|营销支出-网红佣金,联盟商家中心,"1073116000093076875	",M{1073116000093076875}|S{1073116000093076875}
"321392075074330	","20200*****22001124331420653287	","T200P1073005408984068487	",【直播专享】**********水乳套装亮肤水150ml+乳100ml 滋润型,01/07/2020 00:03,0,-201,1944837.21,*******,交易分账,网红佣金代扣款[1073005408984068487],0060011|营销支出-网红佣金,联盟商家中心,"1073005408984068487	",M{1073005408984068487}|S{1073005408984068487}
"321533692851671	","2020062122001169670515782663	","T200P1078472001610894287	",【积分兑换】*****肌活焕采洁面膏50ml,01/07/2020 00:03,9.91,0,1944847.12,*******,在线支付,*****交易号[2020062122001169670515782663],0010001|交易收款-交易收款,商家中心,"1078472001610894287	",M{1078472001610894287}
"321534177980670	","2020062122001169670515782663	","T200P1078472001610894287	",【积分兑换】*****肌活焕采洁面膏50ml,01/07/2020 00:03,0,-0.08,1944847.04,*******,收费,*****支付服务费[2020062122001169670515782663];*****交易号[T200P1078472001610894287],0030038|软件服务费-*******服务费,*****商家中心,"1078472001610894287	",M{1078472001610894287}
"321881188138960	","2020062422001115960512853466	","T200P1084321153766744786	",【*****】******************************防晒乳隔离防水,01/07/2020 00:04,0,-11.4,1944835.64,*******,交易分账,网红佣金代扣款[1084321153766744786],0060011|营销支出-网红佣金,联盟商家中心,"1084321153766744786	",M{1084321153766744786}|S{1084321153766744786}
"321323438273580	","2020062422001153581411782723	","T200P606434381901432401	",【周二星品小样派送】**********面霜5ml,01/07/2020 00:04,0,-0.15,1944835.49,*******,交易分账,网红佣金代扣款[606434381901432401],0060011|营销支出-网红佣金,联盟商家中心,"606434381901432401	",M{606434381901432401}|S{606434381901432401}
"322629336387851	","2020062522001199850503933480	","T200P1084936322672256324	",【*****】******************************防晒乳隔离防水 等多件,01/07/2020 00:04,970,0,1945805.49,*******,交易付款,,0010001|交易收款-交易收款,商家中心,"1084936322672256324	",M{1084936322672256324}
"321205179391410	","BO2020070146108238410205	","CAE_POINT_1084936322672256324_2_0	",,01/07/2020 00:04,0,-4.85,1945800.64,*******,转账,代扣返点积分1084936322672256324,0030001|软件服务费-****返点积分,账房,"1084936322672256324	",M{1084936322672256324}
"321205890539410	","BO2020070146340709410205	","HJCOM==3200060031==2748344437100251==1084936322672256324	",,01/07/2020 00:04,0,-23.6,1945777.04,*******,转账,****佣金（类目）{1084936322672256324}扣款,0030003|软件服务费-****佣金,账房,"1084936322672256324	",M{1084936322672256324}|S{1084936322674256324}
"321205723945410	","BO2020070146252623410205	","HJCOM==3200060031==2748344437130251==1084936322672256324	",,01/07/2020 00:04,0,-15.2,1945761.84,*******,转账,****佣金（类目）{1084936322672256324}扣款,0030003|软件服务费-****佣金,账房,"1084936322672256324	",M{1084936322672256324}|S{1084936322673256324}
"321496193372141	","2020062722001128140541075485	","T200P1088629057670456582	",【*****】********************气垫 持久遮瑕不易脱妆,01/07/2020 00:04,420,0,194*****1.84,*******,交易付款,,0010001|交易收款-交易收款,商家中心,"1088629057670456582	",M{1088629057670456582}
"321206201167410	","BO2020070146365535410205	","CAE_POINT_1088629057670456582_2_0	",,01/07/2020 00:04,0,-2.1,1946179.74,*******,转账,代扣返点积分1088629057670456582,0030001|软件服务费-****返点积分,账房,"1088629057670456582	",M{1088629057670456582}
"321205014170410	","BO2020070146333626410205	","HJCOM==3200060031==2748342939210251==1088629057670456582	",,01/07/2020 00:04,0,-16.8,1946162.94,*******,转账,****佣金（类目）{1088629057670456582}扣款,0030003|软件服务费-****佣金,账房,"1088629057670456582	",M{1088629057670456582}|S{1088629057670456582}
"321028338372461	","20200*****22001164461410680308	","T200P1073020993503398026	",【*****】*************************************还原美肌 等多件,01/07/2020 00:04,260,0,1946422.94,*******,交易付款,*****交易号[20200*****22001164461410680308],0010001|交易收款-交易收款,商家中心,"1073020993503398026	",M{1073020993503398026}
"321027930839460	","20200*****22001164461410680308	","T200P1073020993503398026	",【*****】*************************************还原美肌 等多件,01/07/2020 00:04,0,-2.08,1946420.86,*******,收费,*****支付服务费[20200*****22001164461410680308];*****交易号[T200P1073020993503398026],0030038|软件服务费-*******服务费,*****商家中心,"1073020993503398026	",M{1073020993503398026}
"321205832290410	","BO2020070146313530410205	","CAE_POINT_1073020993503398026_2_0	",,01/07/2020 00:04,0,-1.3,1946419.56,*******,转账,代扣返点积分1073020993503398026,0030001|软件服务费-****返点积分,账房,"1073020993503398026	",M{1073020993503398026}
"321205912089410	","BO2020070146156258410205	","HJCOM==3200060031==2748348218760251==1073020993503398026	",,01/07/2020 00:04,0,-10.4,1946409.16,*******,转账,****佣金（类目）{1073020993503398026}扣款,0030003|软件服务费-****佣金,账房,"1073020993503398026	",M{1073020993503398026}|S{1073020993504398026}
"322716178152520	","20200*****22001134521410109006	","T200P1073527010421679883	",【直播专享】**********水乳套装亮肤水150ml+乳100ml 滋润型,01/07/2020 00:05,0,-40.2,1946368.96,*******,交易分账,网红佣金代扣款[1073527010421679883],0060011|营销支出-网红佣金,联盟商家中心,"1073527010421679883	",M{1073527010421679883}|S{1073527010421679883}
"321180705681411	","20200701000730324123003EH9VE	","vouchercore|20200701000730324123003EH9VE	",,01/07/2020 00:05,5000,0,1951368.96,*******,其它,商家权益红包-红包退回-红包-20200420000730014123004769PK,,,"	",
"322623411304911	","2020062022001177911415863389	","T200P1078061025987387152	",【*****】【直播专享】************************精华露*************,01/07/2020 00:06,1130,0,1952498.96,*******,在线支付,*****分期交易号[2020062022001177911415863389],0010001|交易收款-交易收款,商家中心,"1078061025987387152	",M{1078061025987387152}
"322622829162910	","2020062022001177911415863389	","T200P1078061025987387152	",【*****】【直播专享】************************精华露*************,01/07/2020 00:06,0,-50.85,1952448.11,*******,收费,*****分期服务费[2020062022001177911415863389],003003800001|软件服务费-*******服务费-*****分期,*****商家中心,"1078061025987387152	",M{1078061025987387152}
"321204867589410	","BO2020070146335762410205	","CAE_POINT_1078061025987387152_2_0	",,01/07/2020 00:06,0,-5.65,1952442.46,*******,转账,代扣返点积分1078061025987387152,0030001|软件服务费-****返点积分,账房,"1078061025987387152	",M{1078061025987387152}
"321205052030410	","BO2020070146372087410205	","HJCOM==3200060031==2748333791860251==1078061025987387152	",,01/07/2020 00:06,0,-45.2,1952397.26,*******,转账,****佣金（类目）{1078061025987387152}扣款,0030003|软件服务费-****佣金,账房,"1078061025987387152	",M{1078061025987387152}|S{1078061025987387152}
"321026675132461	","2020062622001167461408735423	","T200P1086388417778773009	",*******************************等多件,01/07/2020 00:07,1750,0,1954147.26,*******,交易付款,*****交易号[2020062622001167461408735423],0010001|交易收款-交易收款,商家中心,"1086388417778773009	",M{1086388417778773009}
"321027503156460	","2020062622001167461408735423	","T200P1086388417778773009	",*******************************等多件,01/07/2020 00:07,0,-14,1954133.26,*******,收费,*****支付服务费[2020062622001167461408735423];*****交易号[T200P1086388417778773009],0030038|软件服务费-*******服务费,*****商家中心,"1086388417778773009	",M{1086388417778773009}
"321206092308410	","BO2020070146006074410205	","CAE_POINT_1086388417778773009_2_0	",,01/07/2020 00:07,0,-8.7,1954124.56,*******,转账,代扣返点积分1086388417778773009,0030001|软件服务费-****返点积分,账房,"1086388417778773009	",M{1086388417778773009}
"321205548494410	","BO2020070146309800410205	","HJCOM==3200060031==2748352607780251==1086388417778773009	",,01/07/2020 00:07,0,-19.6,1954104.96,*******,转账,****佣金（类目）{1086388417778773009}扣款,0030003|软件服务费-****佣金,账房,"1086388417778773009	",M{1086388417778773009}|S{1086388417780773009}
"321204754320410	","BO2020070146355338410205	","HJCOM==3200060031==2748352607830251==1086388417778773009	",,01/07/2020 00:07,0,-22.4,1954082.56,*******,转账,****佣金（类目）{1086388417778773009}扣款,0030003|软件服务费-****佣金,账房,"1086388417778773009	",M{1086388417778773009}|S{1086388417779773009}
"321205986671410	","BO2020070146304823410205	","HJCOM==3200060031==2748352607850251==1086388417778773009	",,01/07/2020 00:07,0,-27.6,1954054.96,*******,转账,****佣金（类目）{1086388417778773009}扣款,0030003|软件服务费-****佣金,账房,"1086388417778773009	",M{1086388417778773009}|S{1086388417781773009}
"321027869616460	","2020062622001167461408735423	","T200P1086388417778773009	",*******************************等多件,01/07/2020 00:07,0,-14.7,1954040.26,*******,交易分账,网红佣金代扣款[1086388417780773009],0060011|营销支出-网红佣金,联盟商家中心,"1086388417778773009	",M{1086388417778773009}|S{1086388417780773009}
"322623992194910	","2020062022001177911415863389	","T200P1078061025987387152	",【*****】【直播专享】************************精华露*************,01/07/2020 00:08,0,-33.9,1954006.36,*******,交易分账,网红佣金代扣款[1078061025987387152],0060011|营销支出-网红佣金,联盟商家中心,"1078061025987387152	",M{1078061025987387152}|S{1078061025987387152}
"324033754134781	","20200*****22001191781419563146	","T200P597015557219707199	",【*****】*****WASO********************************等多件,01/07/2020 00:08,220,0,1954226.36,*******,交易付款,*****交易号[20200*****22001191781419563146],0010001|交易收款-交易收款,商家中心,"597015557219707199	",M{597015557219707199}
"324032218997780	","20200*****22001191781419563146	","T200P597015557219707199	",【*****】*****WASO********************************等多件,01/07/2020 00:08,0,-1.76,1954224.6,*******,收费,*****支付服务费[20200*****22001191781419563146];*****交易号[T200P597015557219707199],0030038|软件服务费-*******服务费,*****商家中心,"597015557219707199	",M{597015557219707199}
"321204867657410	","BO2020070146337000410205	","CAE_POINT_597015557219707199_2_0	",,01/07/2020 00:08,0,-1.1,1954223.5,*******,转账,代扣返点积分597015557219707199,0030001|软件服务费-****返点积分,账房,"597015557219707199	",M{597015557219707199}
"321205091718410	","BO2020070146330983410205	","HJCOM==3200060031==2748333796950251==597015557219707199	",,01/07/2020 00:08,0,-8.8,1954214.7,*******,转账,****佣金（类目）{597015557219707199}扣款,0030003|软件服务费-****佣金,账房,"597015557219707199	",M{597015557219707199}|S{597015557220707199}
"321027304642460	","2020062622001167461408735423	","T200P1086388417778773009	",*******************************等多件,01/07/2020 00:08,0,-16.8,1954197.9,*******,交易分账,网红佣金代扣款[1086388417779773009],0060011|营销支出-网红佣金,联盟商家中心,"1086388417778773009	",M{1086388417778773009}|S{1086388417779773009}
"322630216399851	","2020062522001199850503484055	","T200P1085135715602256324	",【新入会享】****************精华露1.5ml*2原价拍无效不包邮7天内发货,01/07/2020 00:08,19.91,0,1954217.81,*******,交易付款,,0010001|交易收款-交易收款,商家中心,"1085135715602256324	",M{1085135715602256324}
"321026446705460	","2020062622001167461408735423	","T200P1086388417778773009	",*******************************等多件,01/07/2020 00:08,0,-20.7,1954197.11,*******,交易分账,网红佣金代扣款[1086388417781773009],0060011|营销支出-网红佣金,联盟商家中心,"1086388417778773009	",M{1086388417778773009}|S{1086388417781773009}
"321181369415411	","20200701000730324123003EH1RE	","vouchercore|20200701000730324123003EH1RE	",,01/07/2020 00:10,15000,0,1969197.11,*******,其它,商家权益红包-红包退回-红包-20200420000730014123004775IL,,,"	",
"324333104850171	","20200*****22001103171414693391	","T200P1073930721723170935	",【*****】【*****】******************************防晒乳*************,01/07/2020 00:10,380,0,1969577.11,*******,交易付款,*****交易号[20200*****22001103171414693391],0010001|交易收款-交易收款,商家中心,"1073930721723170935	",M{1073930721723170935}
"324333393189170	","20200*****22001103171414693391	","T200P1073930721723170935	",【*****】【*****】******************************防晒乳*************,01/07/2020 00:10,0,-3.04,1969574.07,*******,收费,*****支付服务费[20200*****22001103171414693391];*****交易号[T200P1073930721723170935],0030038|软件服务费-*******服务费,*****商家中心,"1073930721723170935	",M{1073930721723170935}
"321205853468410	","BO2020070146090457410205	","CAE_POINT_1073930721723170935_2_0	",,01/07/2020 00:10,0,-1.9,1969572.17,*******,转账,代扣返点积分1073930721723170935,0030001|软件服务费-****返点积分,账房,"1073930721723170935	",M{1073930721723170935}
"321205465722410	","BO2020070146364539410205	","HJCOM==3200060031==2748342957650251==1073930721723170935	",,01/07/2020 00:10,0,-15.2,1969556.97,*******,转账,****佣金（类目）{1073930721723170935}扣款,0030003|软件服务费-****佣金,账房,"1073930721723170935	",M{1073930721723170935}|S{1073930721723170935}
"324031652861781	","2020062822001191781423237896	","T200P598030277923707199	",【*****】*******************粉底液持妆清透服帖,01/07/2020 00:11,420,0,1969976.97,*******,交易付款,*****交易号[2020062822001191781423237896],0010001|交易收款-交易收款,商家中心,"598030277923707199	",M{598030277923707199}
"324033052249780	","2020062822001191781423237896	","T200P598030277923707199	",【*****】*******************粉底液持妆清透服帖,01/07/2020 00:11,0,-3.36,1969973.61,*******,收费,*****支付服务费[2020062822001191781423237896];*****交易号[T200P598030277923707199],0030038|软件服务费-*******服务费,*****商家中心,"598030277923707199	",M{598030277923707199}
"321205874887410	","BO202007014*****7638410205	","CAE_POINT_598030277923707199_2_0	",,01/07/2020 00:11,0,-2.1,1969971.51,*******,转账,代扣返点积分598030277923707199,0030001|软件服务费-****返点积分,账房,"598030277923707199	",M{598030277923707199}
"321205147636410	","BO2020070146367345410205	","HJCOM==3200060031==2748355008490251==598030277923707199	",,01/07/2020 00:11,0,-16.8,1969954.71,*******,转账,****佣金（类目）{598030277923707199}扣款,0030003|软件服务费-****佣金,账房,"598030277923707199	",M{598030277923707199}|S{598030277923707199}
"322049998179161	","2020062122001105160599499853	","T200P597289924465377598	",【*****】******************************防晒乳隔离防水,01/07/2020 00:11,380,0,1970334.71,*******,在线支付,*****交易号[2020062122001105160599499853],0010001|交易收款-交易收款,商家中心,"597289924465377598	",M{597289924465377598}
"322049043660160	","2020062122001105160599499853	","T200P597289924465377598	",【*****】******************************防晒乳隔离防水,01/07/2020 00:11,0,-3.04,1970331.67,*******,收费,*****支付服务费[2020062122001105160599499853];*****交易号[T200P597289924465377598],0030038|软件服务费-*******服务费,*****商家中心,"597289924465377598	",M{597289924465377598}
"321205295266410	","BO2020070146247592410205	","CAE_POINT_597289924465377598_2_0	",,01/07/2020 00:11,0,-1.9,1970329.77,*******,转账,代扣返点积分597289924465377598,0030001|软件服务费-****返点积分,账房,"597289924465377598	",M{597289924465377598}
"321206749294410	","BO2020070146109675410205	","HJCOM==3200060031==2748352719200251==597289924465377598	",,01/07/2020 00:11,0,-15.2,1970314.57,*******,转账,****佣金（类目）{597289924465377598}扣款,0030003|软件服务费-****佣金,账房,"597289924465377598	",M{597289924465377598}|S{597289924465377598}
"328827118586301	","2020062122001146300530553789	","T200P1079406048364453636	",【*****】******************************* 等多件,01/07/2020 00:14,260,0,1970574.57,*******,在线支付,*****交易号[2020062122001146300530553789],0010001|交易收款-交易收款,商家中心,"1079406048364453636	",M{1079406048364453636}
"328827977040300	","2020062122001146300530553789	","T200P1079406048364453636	",【*****】******************************* 等多件,01/07/2020 00:14,0,-2.08,1970572.49,*******,收费,*****支付服务费[2020062122001146300530553789];*****交易号[T200P1079406048364453636],0030038|软件服务费-*******服务费,*****商家中心,"1079406048364453636	",M{1079406048364453636}
"321205196137410	","BO2020070146267679410205	","CAE_POINT_1079406048364453636_2_0	",,01/07/2020 00:14,0,-1.3,1970571.19,*******,转账,代扣返点积分1079406048364453636,0030001|软件服务费-****返点积分,账房,"1079406048364453636	",M{1079406048364453636}
"321206670210410	","BO2020070146114679410205	","HJCOM==3200060031==2748350236790251==1079406048364453636	",,01/07/2020 00:14,0,-10.4,1970560.79,*******,转账,****佣金（类目）{1079406048364453636}扣款,0030003|软件服务费-****佣金,账房,"1079406048364453636	",M{1079406048364453636}|S{1079406048365453636}
"321020793124221	","2020062722001105221419073916	","T200P606947726233140504	",【*****】*******************************,01/07/2020 00:15,260,0,1970820.79,*******,在线支付,*****交易号[2020062722001105221419073916],0010001|交易收款-交易收款,商家中心,"606947726233140504	",M{606947726233140504}
"321020676555220	","2020062722001105221419073916	","T200P606947726233140504	",【*****】*******************************,01/07/2020 00:15,0,-2.08,1970818.71,*******,收费,*****支付服务费[2020062722001105221419073916];*****交易号[T200P606947726233140504],0030038|软件服务费-*******服务费,*****商家中心,"606947726233140504	",M{606947726233140504}
"321205332857410	","BO202007014*****2927410205	","CAE_POINT_606947726233140504_2_0	",,01/07/2020 00:15,0,-1.3,1970817.41,*******,转账,代扣返点积分606947726233140504,0030001|软件服务费-****返点积分,账房,"606947726233140504	",M{606947726233140504}
"321206314002410	","BO2020070146080434410205	","HJCOM==3200060031==2748351236280251==606947726233140504	",,01/07/2020 00:15,0,-10.4,1970807.01,*******,转账,****佣金（类目）{606947726233140504}扣款,0030003|软件服务费-****佣金,账房,"606947726233140504	",M{606947726233140504}|S{606947726233140504}
"322174012782771	","2020061922001186771414820764	","T200P597205223426415898	",【*****】【*****】************************精华露修护傲娇精华,01/07/2020 00:16,1080,0,1971887.01,*******,交易付款,*****分期交易号[2020061922001186771414820764],0010001|交易收款-交易收款,商家中心,"597205223426415898	",M{597205223426415898}
"322173346346770	","2020061922001186771414820764	","T200P597205223426415898	",【*****】【*****】************************精华露修护傲娇精华,01/07/2020 00:16,0,-40.93,1971846.08,*******,收费,*****分期服务费[2020061922001186771414820764],003003800001|软件服务费-*******服务费-*****分期,*****商家中心,"597205223426415898	",M{597205223426415898}
"321205065115410	","BO2020070146348463410205	","CAE_POINT_597205223426415898_2_0	",,01/07/2020 00:16,0,-5.4,1971840.68,*******,转账,代扣返点积分597205223426415898,0030001|软件服务费-****返点积分,账房,"597205223426415898	",M{597205223426415898}
"321205408684410	","BO2020070146153539410205	","HJCOM==3200060031==2748355122170251==597205223426415898	",,01/07/2020 00:16,0,-43.2,1971797.48,*******,转账,****佣金（类目）{597205223426415898}扣款,0030003|软件服务费-****佣金,账房,"597205223426415898	",M{597205223426415898}|S{597205223426415898}
"328826476088300	","2020062122001146300530553789	","T200P1079406048364453636	",【*****】******************************* 等多件,01/07/2020 00:16,0,-7.8,1971789.68,*******,交易分账,网红佣金代扣款[1079406048365453636],0060011|营销支出-网红佣金,联盟商家中心,"1079406048364453636	",M{1079406048364453636}|S{1079406048365453636}
"321205465971411	","20200*****22001134411410835530	","T200P1073718819653994154	",【直播专享】**********水乳套装亮肤水150ml+乳100ml 滋润型,01/07/2020 00:17,1340,0,1973129.68,*******,交易付款,*****分期交易号[20200*****22001134411410835530],0010001|交易收款-交易收款,商家中心,"1073718819653994154	",M{1073718819653994154}
"321206559081410	","20200*****22001134411410835530	","T200P1073718819653994154	",【直播专享】**********水乳套装亮肤水150ml+乳100ml 滋润型,01/07/2020 00:17,0,-59.8,1973069.88,*******,收费,*****分期服务费[20200*****22001134411410835530],003003800001|软件服务费-*******服务费-*****分期,*****商家中心,"1073718819653994154	",M{1073718819653994154}
"321206037943410	","BO2020070146071400410205	","CAE_POINT_1073718819653994154_2_0	",,01/07/2020 00:17,0,-6.7,1973063.18,*******,转账,代扣返点积分1073718819653994154,0030001|软件服务费-****返点积分,账房,"1073718819653994154	",M{1073718819653994154}
"321204563646410	","BO2020070146388930410205	","HJCOM==3200060031==2748351338940251==1073718819653994154	",,01/07/2020 00:17,0,-53.6,1973009.58,*******,转账,****佣金（类目）{1073718819653994154}扣款,0030003|软件服务费-****佣金,账房,"1073718819653994154	",M{1073718819653994154}|S{1073718819653994154}
"321383651203271	","2020062222001122270506953069	","T200P1080808642600794231	",【*****】******************************防晒乳隔离防水,01/07/2020 00:17,380,0,1973389.58,*******,交易付款,*****交易号[2020062222001122270506953069],0010001|交易收款-交易收款,商家中心,"1080808642600794231	",M{1080808642600794231}
"321385566141270	","2020062222001122270506953069	","T200P1080808642600794231	",【*****】******************************防晒乳隔离防水,01/07/2020 00:17,0,-3.03,1973386.55,*******,收费,*****支付服务费[2020062222001122270506953069];*****交易号[T200P1080808642600794231],0030038|软件服务费-*******服务费,*****商家中心,"1080808642600794231	",M{1080808642600794231}
"321206216200410	","BO2020070146385552410205	","CAE_POINT_1080808642600794231_2_0	",,01/07/2020 00:17,0,-1.9,1973384.65,*******,转账,代扣返点积分1080808642600794231,0030001|软件服务费-****返点积分,账房,"1080808642600794231	",M{1080808642600794231}
"321206168885410	","BO2020070146021417410205	","HJCOM==3200060031==2748350940220251==1080808642600794231	",,01/07/2020 00:17,0,-15.2,1973369.45,*******,转账,****佣金（类目）{1080808642600794231}扣款,0030003|软件服务费-****佣金,账房,"1080808642600794231	",M{1080808642600794231}|S{1080808642600794231}
